square_feet,bedrooms,bathrooms,age_years,lot_size,garage_spaces,neighborhood_score,price
2082,3,1,7,5055,0,9.39,431731.87870756246
1056,1,3,24,6747,2,3.5,273971.5977479337
519,5,3,26,7396,3,2.44,221441.14441102708
1230,1,1,45,6111,1,6.56,195718.38946437207
2210,2,3,22,6681,0,1.99,408229.4773780436
1481,1,3,29,2961,3,3.15,305170.2263208606
2374,1,1,44,4656,1,2.25,387748.6157337789
1769,4,3,46,9807,3,0.69,357929.1698014964
1140,3,1,22,6561,0,8.27,235984.0457529191
3945,5,1,48,5893,0,2.55,633999.4514863599
516,1,2,46,5988,3,4.73,106909.63835558163
2253,5,2,19,401,2,0.43,473326.6166740665
3238,1,3,17,6360,3,6.99,602680.5759157316
1550,2,3,17,717,1,3.31,360917.21902350866
3864,1,1,1,7937,2,7.45,723320.7808930968
2331,4,3,3,9733,1,4.12,556534.9297813392
1412,3,1,29,2188,3,1.96,339344.77273234684
2064,2,1,32,4002,2,5.13,380475.9691332526
1481,1,3,35,6008,1,1.31,285263.1016702528
1033,5,1,17,7362,3,4.41,329999.4104378753
912,2,2,36,6441,3,3.17,220010.10627587573
3249,2,3,18,8599,2,9.12,628795.9304836568
1519,1,2,46,5833,3,0.61,241408.85910169358
1541,2,3,27,5955,0,6.94,289944.4350432427
959,5,1,39,6509,1,1.83,226744.92062075774
887,2,3,19,4317,1,3.19,239569.47399344126
3708,5,2,48,8545,3,4.16,671215.2380194798
1296,1,1,32,1718,3,9.08,224769.2861176149
3743,3,3,11,6363,0,2.43,681148.3390003324
1612,2,3,57,2800,2,0.91,256769.94382833724
1103,3,3,50,2395,3,3.19,233562.9071606244
1870,5,2,14,3754,3,1.05,452976.30697853316
980,2,2,40,3049,3,1.29,211093.16073820606
3237,4,3,38,1942,3,5.74,595652.970980509
3308,3,1,1,1506,1,0.61,623664.4237602503
2694,2,1,28,4049,3,0.31,484760.76239336625
3547,3,2,40,7719,1,7.14,615314.0386609709
553,2,1,9,4395,3,3.62,202895.00543906135
2079,1,2,1,5378,2,1.25,434040.628849239
3906,3,3,50,2755,0,2.54,602077.1070084106
1396,4,2,10,2505,2,6.42,384764.62669963593
3557,4,2,12,7819,3,2.76,677666.782548041
3144,5,3,9,9480,3,4.95,668555.9672674325
3756,2,1,13,2842,3,1.22,655669.7833562952
1643,3,2,17,9569,2,5.88,336347.1974865066
1492,5,2,50,6609,3,3.16,330010.4061645152
3518,3,3,53,4957,2,6.27,615059.618939116
1408,2,1,8,3194,1,8.08,277909.5230710797
2541,4,2,56,8951,0,6.12,457192.18649092905
2173,1,3,38,1471,0,2.96,332796.2476294509
1357,4,2,27,2013,2,2.56,315393.235609856
3459,5,3,2,9001,1,3.27,706590.5098598908
852,1,1,19,2661,2,1.65,186530.36968258093
1627,5,1,5,4320,1,1.81,413618.95112327527
3359,2,1,26,6324,3,7.91,606168.20728765
2665,1,1,52,8675,1,3.85,389570.377010126
2921,5,2,1,4596,1,4.36,608904.8932681315
2879,2,2,28,9483,1,5.94,511249.95941257774
2788,4,1,37,1016,0,5.9,492051.42929919285
950,2,1,2,7504,1,0.67,254323.32798345838
2035,3,1,15,7531,3,8.32,451288.53164352244
1712,2,2,29,282,3,1.77,299022.4491688591
3725,2,1,39,2120,3,7.23,611219.5508312918
2157,3,1,1,8017,1,7.73,453105.42071605695
756,5,1,16,2293,2,7.15,275734.58039811655
2470,5,3,40,7271,2,5.79,492112.56493242807
2185,2,1,11,8167,3,0.15,436575.0751616845
2969,3,3,34,8567,0,3.6,524640.2447837094
2181,3,3,42,5485,2,6.05,379688.0763346852
3571,4,1,0,5137,1,3.87,701153.18571776
3249,5,3,54,569,2,8.63,590872.2555627208
3651,1,1,44,2018,3,3.09,583475.5459153139
3694,5,2,14,2301,0,2.94,656215.8184264472
3209,5,2,25,3690,2,2.66,610879.57378165
2889,4,2,36,1979,2,3.33,520969.9115808027
2031,1,2,20,7874,3,5.57,402512.12582476623
3216,4,3,48,1564,0,7.07,529234.25391686
1415,1,1,30,7494,0,6.63,253008.75713547558
1748,2,1,24,3876,3,8.08,389425.24812562065
915,1,1,22,2626,1,8.86,199572.74692931064
3487,4,2,23,8464,2,8.16,670315.4480364702
3239,5,2,56,8289,1,0.19,523448.85185949254
735,1,1,37,3162,2,7.36,124169.0777288595
2182,1,2,27,1059,2,2.08,370541.10198354453
2705,3,1,20,4338,1,1.33,472820.4705831434
896,5,1,53,2624,3,6.38,238313.12852541968
1295,2,1,42,9456,3,3.2,254436.06401937274
2607,4,1,17,4217,2,0.57,556041.5717529394
3946,2,1,35,8760,3,1.38,628942.8312715142
1251,5,1,34,8542,2,0.01,292426.29222783464
2087,1,1,44,1334,3,9.03,312138.1525493142
2331,1,2,54,5366,2,0.25,298683.1845081935
3137,5,1,8,5319,3,2.09,650912.419589063
2827,1,1,52,5894,0,4.16,409250.30765934713
1968,1,2,37,6336,1,3.57,307490.1913070842
1356,1,2,57,5685,0,9.12,199990.59239186847
3138,4,2,29,4364,1,0.4,550042.6480214891
3898,4,1,59,2546,1,5.12,602267.8509031344
2036,3,3,43,5239,2,6.8,388872.3077446745
1691,2,3,33,5097,1,9.32,322872.69645191444
1840,5,2,31,8452,0,6.2,385171.00180360087
1591,5,3,2,5241,0,8.04,420483.2911211149
1466,5,2,2,4101,3,0.84,415079.5769350666
684,3,1,27,1537,0,3.86,102769.5964803037
2844,4,3,43,1384,3,3.74,525035.414770304
411,3,1,14,4626,1,8.86,152728.36246924652
2030,5,3,40,1751,0,1.51,376500.9462754944
3773,2,1,22,1829,1,1.52,604654.9325183255
3724,1,3,39,9719,0,3.29,594621.2058005368
2946,4,1,10,1726,0,0.54,537683.7627658661
1153,4,1,47,1561,3,1.82,211250.7898040359
2482,3,3,31,9965,1,9.65,508613.93036891153
3174,4,1,57,4570,0,4.28,481027.92026279017
3296,5,1,58,5483,2,6.32,548631.8748814777
489,5,1,56,7810,1,7.26,149439.83571789032
1175,3,3,53,2193,1,3.67,227053.37128585484
3052,5,3,35,1069,1,1.47,557114.0067773404
3417,2,1,59,1214,3,2.07,449464.75939801685
2025,3,1,32,802,2,3.13,348034.18226824305
3469,2,3,23,890,1,6.36,613447.7637248051
817,1,3,38,8885,0,3.98,175032.1610738006
514,2,1,33,689,0,0.07,86102.06684943107
1016,1,1,55,7064,3,5.23,147638.27905848768
3667,1,1,27,7440,0,9.22,639454.2201139865
1225,2,2,36,7986,1,8.12,244632.2775698929
3972,3,3,6,8224,0,8.25,762242.6537358221
2049,5,2,3,494,1,7.95,459486.9580914621
1916,5,3,36,5688,0,3.24,379692.64301582065
3546,1,3,55,4227,2,7.65,571250.5122292445
812,1,3,0,3112,3,1.43,268205.2255157074
3847,3,3,0,4944,3,6.58,753883.6621961319
3891,4,3,46,2073,2,6.42,643083.2861673896
1128,2,3,19,3458,2,0.26,260544.85321197548
3748,1,3,18,3017,3,7.88,674662.1180155913
3468,5,2,28,8836,2,9.03,680938.3607785765
3208,3,1,9,3841,1,2.67,572624.2067007798
1075,2,1,59,4658,0,8.12,148868.31761478123
3865,3,2,17,5507,3,0.82,684228.4631143179
2292,2,2,27,9133,2,6.0,413829.2355252628
2904,2,2,34,2241,1,4.86,501775.3704129361
3367,1,2,42,879,3,5.46,541143.9662680542
2639,3,3,46,5938,2,9.26,485492.3288275534
3186,3,1,30,5868,3,8.71,570623.0451445568
1522,5,3,26,9750,2,7.85,400746.5288692984
1971,5,1,10,7897,3,2.74,467870.3285757399
1377,1,1,48,8233,1,9.12,253949.6315162861
1408,1,2,48,262,1,0.98,211754.7369965429
2543,4,3,37,8029,0,8.53,480771.8175610183
2087,5,2,4,7552,3,3.28,496878.7251458862
3110,2,3,7,7115,0,0.54,557116.3779935081
3661,3,1,33,8526,3,6.69,641261.5893749405
436,1,2,47,3844,2,2.31,59768.97099518231
3840,3,2,51,5170,2,2.44,631156.4748997925
1948,3,1,55,8203,0,3.06,249915.67488403895
2726,4,1,11,3478,3,0.64,551479.3661854949
2664,5,1,37,7496,0,1.77,486409.5497561086
3314,1,2,0,9214,1,0.05,620932.8496629528
1272,3,3,30,3274,0,4.45,293233.79109107907
2221,1,2,3,8512,0,0.84,403020.04429491895
1696,2,3,48,7752,2,6.83,334679.96161877015
2509,4,2,44,1837,0,2.36,425742.65045571397
995,2,2,49,5303,3,9.44,171489.8648511146
2303,1,1,4,9316,2,8.71,460388.63879457786
1128,1,3,29,844,0,2.89,194072.9315885861
1765,5,2,55,2232,1,7.83,342708.43032794
796,3,2,23,2961,0,8.03,246440.9966055049
1098,3,1,58,2268,0,9.87,182341.73805464318
3490,2,1,2,441,0,5.98,592975.3029762001
2624,4,3,10,2868,2,0.82,566084.3001123241
2035,3,2,44,1002,3,6.47,385914.85140272876
795,5,3,3,5259,1,6.25,294814.76341936184
2892,2,2,25,395,0,6.38,461605.2446505069
3704,2,3,26,2387,3,3.07,633037.2488156256
475,5,1,45,2530,3,8.6,193836.03601343444
664,4,2,53,5041,2,9.59,176419.95732713907
2902,5,3,42,3806,1,2.18,542074.8503791082
2219,4,1,26,8668,2,0.88,409055.40658447664
1117,5,1,41,260,3,1.95,274184.3795803485
3182,5,3,50,4127,3,8.21,564880.3267128452
3855,1,2,49,6496,3,6.77,600444.4496786463
1250,2,2,5,2791,2,6.36,320531.2771822759
3977,5,1,58,8958,1,4.02,633073.3710992131
1790,5,2,14,9963,0,5.78,440048.5855890089
543,3,2,52,6321,2,3.08,111948.12042896796
1284,2,2,29,1400,3,4.77,247188.58814367387
3540,3,1,41,3054,2,7.93,619627.6412928895
3570,2,3,36,7224,3,9.81,645456.6038619801
795,3,2,57,9628,0,9.32,172846.72156099253
3496,5,1,36,7172,0,9.34,650128.1916910539
3395,5,1,41,336,1,4.02,532596.0210099814
3338,1,3,59,1229,3,4.69,526923.6527994064
1892,3,2,36,2794,1,7.06,343347.49631011306
3955,4,2,34,7406,1,9.22,695136.5441845218
3622,1,3,22,861,0,1.42,599030.8215533118
1567,3,3,5,2672,2,3.04,377253.1845318109
3016,3,1,3,286,2,1.39,578032.4215091304
1462,1,1,17,6419,1,6.12,280681.14064967836
2556,5,3,59,8343,0,3.06,459630.18029368116
1465,3,2,8,7168,3,3.26,358061.5681596942
1609,5,1,48,2973,2,0.71,287127.33421683725
3382,1,1,28,1900,1,3.5,515793.6485850499
2845,5,2,12,2900,2,8.62,602353.5173904011
3694,2,1,58,7015,2,2.33,590864.7678554908
1033,4,2,46,1847,3,6.95,276932.12798227085
1556,3,2,51,6238,0,6.3,259710.08044281212
3634,4,2,16,5364,3,8.63,710923.1535466495
1638,5,3,44,5720,0,1.32,332345.54052107903
1132,3,3,31,3887,2,9.78,292519.33237738046
634,5,3,47,796,1,5.83,200360.2549508555
3105,2,2,21,4745,3,9.95,593640.300315112
1150,1,2,3,8876,0,9.12,223589.22436365183
3035,3,3,4,9037,2,2.22,624313.9733177389
3480,2,1,36,4957,0,0.56,528615.5794156671
3545,2,2,40,4584,0,2.56,544499.2417153679
1353,3,1,48,9112,0,5.28,251899.1335632414
2939,5,1,12,4933,2,1.72,616212.4883280954
3360,2,2,33,7281,1,1.67,571352.0628808282
3724,4,2,44,8890,1,4.63,631898.967855778
3701,2,1,21,7317,1,0.33,592253.8869972217
1942,5,1,52,4929,0,1.22,275693.1114378064
1597,5,3,58,1873,2,4.16,328426.31993162713
2076,4,3,22,8506,0,0.63,442882.3221558887
1591,2,2,50,7378,1,3.97,263278.7297980394
2617,5,3,2,2494,1,4.74,601432.9241767598
1816,3,3,41,3830,2,4.51,330186.1952833501
3393,1,3,33,346,0,8.69,551287.220870899
3242,1,3,31,3653,3,5.3,557499.9808082422
3081,1,1,44,4707,3,4.68,480401.82631487865
1617,2,2,50,5983,1,4.11,290204.63325907814
1940,4,3,57,7951,2,8.18,380345.15551802475
2476,5,1,48,5828,0,8.95,443010.15098454943
3636,3,1,20,8528,0,8.53,624312.1304037893
1845,3,1,45,3560,1,6.74,345661.5894284292
2786,2,3,43,3205,1,1.37,428796.07554842747
1919,1,3,20,3752,0,2.77,337604.01134305174
1788,2,2,43,218,0,0.46,307894.74134194985
2256,4,3,10,2442,1,9.31,515578.8659614307
1765,4,3,38,6518,0,6.61,366212.4669659746
899,5,1,3,5297,3,7.46,327257.8411105257
2080,5,2,50,8840,1,3.12,380112.44025284366
910,4,3,0,2148,0,8.46,309805.4551028495
3798,4,3,27,9337,1,2.6,690176.6832200842
616,4,1,23,5818,2,0.02,196688.57198910008
1724,2,1,34,4436,1,3.76,265627.1722874738
1555,4,3,12,7101,1,5.71,403539.0401553864
2227,3,2,46,2120,2,4.79,410992.5934977262
3541,1,2,33,4388,3,8.62,595709.5374975885
3723,4,1,10,438,0,1.05,670417.9678661161
3886,1,1,35,404,2,5.54,611534.9254968915
2210,2,3,50,5752,1,5.13,361239.1971966789
2892,1,1,16,5127,0,2.81,454313.4862708577
3323,2,3,34,4590,2,8.22,570922.2302255868
1605,3,2,59,2887,0,7.53,266971.8513830943
2614,2,2,17,5151,0,7.33,479269.0973602959
490,2,3,39,6360,2,8.76,185001.86043763396
1113,5,1,21,5588,0,7.23,308633.4022440779
2281,4,2,56,9740,3,2.32,432365.69966254605
438,4,1,23,5326,2,7.06,191793.61603424445
3597,3,2,57,1016,3,3.08,557578.0210135668
3922,3,3,18,9212,1,2.42,719490.7859194998
572,4,3,36,392,0,0.73,163051.06330056445
1052,5,3,38,1976,1,7.44,260304.37222888504
1153,4,2,20,3845,1,7.11,326168.9851711742
1643,5,1,7,6514,0,2.34,409543.787498583
1481,3,1,27,8642,2,7.49,300021.0171116588
2083,1,1,4,1988,0,9.18,378210.10189766943
2923,3,2,16,7574,1,1.08,533838.9956111904
855,3,2,36,3900,1,2.33,203237.0308759923
1228,2,2,35,9559,2,7.5,275712.5036090799
1294,2,2,53,4093,0,2.75,195424.14425572712
1784,2,2,18,7011,1,6.25,369849.14560798253
2358,2,1,26,9488,3,0.81,402353.35607108934
3472,5,2,52,2879,1,4.52,603745.225627169
2834,4,2,33,4104,1,7.39,527460.2924890786
2396,1,1,10,7460,2,6.87,436349.1363488282
2795,3,2,53,704,3,8.15,448457.8745213936
589,5,1,44,9779,1,8.77,191757.22312372705
904,1,1,46,6973,1,7.73,152875.1979243562
1614,5,3,11,4016,3,6.72,409242.36396586825
1931,5,3,53,917,0,0.32,351813.7214131286
3840,3,3,20,4634,0,5.35,688762.7950369699
3880,4,3,53,858,1,0.38,622771.4091370468
1223,2,2,10,5257,1,8.08,305800.7640479035
1328,4,3,38,4208,0,3.21,283592.7516744536
1333,3,1,27,5194,2,5.62,293861.4201067273
1540,3,2,4,4434,3,2.79,390922.93865750113
533,3,3,16,3964,3,7.83,245064.13812301046
2505,1,1,55,4837,2,8.87,397370.40986893006
1084,4,2,19,2304,2,3.99,297944.5037756916
3119,4,2,40,9647,2,8.63,573493.1851844636
2620,5,3,45,7001,2,2.67,497056.19910493604
2252,5,2,57,8775,2,5.35,406133.8249426276
1214,5,1,11,2807,2,8.59,349507.59286225814
1572,3,2,5,8585,3,3.26,419176.2342930505
479,4,1,16,3919,2,9.54,204138.947880257
3333,3,2,50,2781,0,1.22,528164.1649541992
3684,1,3,18,2765,2,0.18,612624.3999096968
602,5,1,25,2963,2,9.04,232242.0983032127
3211,3,2,47,6528,3,0.69,567962.9425614888
1652,3,2,43,6191,3,9.92,357666.95946663886
2099,1,2,43,3606,2,9.51,323175.75933721685
1650,2,1,51,9123,3,1.37,284269.8963207109
2082,4,1,31,4980,1,5.38,413724.51557587105
1955,2,1,5,4377,3,1.85,406023.7394645418
3912,5,3,54,6676,3,4.28,713342.4422540468
3873,3,3,57,2804,3,0.61,612717.9592056492
2494,1,1,35,8381,3,2.24,413847.26309608173
1656,1,2,37,2582,0,3.63,282657.47881876206
3776,4,3,10,731,0,4.39,726430.9896693274
1949,2,1,32,6279,0,9.77,356178.8994801194
1566,4,2,23,834,2,8.08,347148.09552998235
3886,3,3,22,202,2,7.37,685604.7245876144
3984,4,2,14,8597,1,5.37,745194.8734888671
1796,1,2,26,6151,0,8.4,328517.48477451684
3730,1,2,10,5826,2,3.39,649314.5645544549
3103,5,2,56,7939,3,7.09,554502.3004360669
870,5,3,50,6203,3,9.94,276465.22150780784
3418,3,3,49,3090,0,3.15,557533.3069738909
1435,2,3,16,6439,1,6.74,337144.4863310095
1753,4,1,50,8226,1,8.44,341590.6751924822
3183,3,3,52,3506,3,9.16,557469.0042464398
3231,5,2,13,1097,1,7.18,632608.8324524113
1367,4,3,26,9477,0,2.84,347675.30646617245
757,5,2,17,9671,3,3.26,273524.83026939665
3419,4,1,27,870,2,0.21,586836.5160107599
3879,2,2,50,7491,2,7.61,654346.9563085495
1067,3,2,46,1705,1,0.43,181809.5149798068
772,4,2,46,6660,3,8.65,221097.6471271888
1431,1,1,3,5367,3,1.19,299714.6026177394
1545,1,3,6,5455,2,1.72,305155.57037432404
1771,4,3,44,449,3,4.77,365391.84695990407
3123,4,1,34,6657,3,7.38,560691.5647284291
489,4,2,47,2092,3,1.39,152795.60865287122
3145,1,3,8,3639,1,4.4,593340.7702008223
3787,1,1,7,3054,3,4.83,615364.5253365269
3649,4,3,51,9895,0,2.12,608361.6603199944
939,5,1,44,3992,1,1.16,218360.4646592996
3179,5,2,16,5530,3,8.36,617323.0216314044
1268,2,3,16,8071,3,5.02,351127.30720844463
440,3,1,48,8435,0,0.14,89887.84073606967
1139,5,3,32,3812,1,8.03,335228.256438638
2346,1,3,31,2818,2,9.81,418687.0427377714
2949,5,3,7,4878,2,6.06,632419.5845944762
3406,2,3,18,3363,1,5.04,608527.2729040186
3616,2,1,37,9680,3,8.78,661864.1809510308
1624,3,2,2,3142,3,9.53,440836.1072099413
1328,5,1,58,8611,2,7.55,280718.9539901749
2436,1,1,4,2125,2,4.45,455088.03543301567
2908,1,1,12,3172,2,5.92,524002.0762316987
3179,4,2,46,1190,0,7.01,586091.0964198292
3199,1,3,45,2012,2,1.94,512348.39586114103
1324,3,3,30,9195,0,4.47,296319.1879223754
3356,3,3,54,689,1,8.3,549906.0320677003
1981,1,2,15,6076,3,6.55,403650.30495038885
3724,1,3,49,9885,2,4.11,585959.5636329758
789,4,2,31,3845,3,6.63,253851.84676153745
2017,1,3,21,7281,3,1.18,365000.0674041692
3330,4,3,28,3091,2,4.01,621501.9882118733
655,4,1,21,3716,2,7.93,237164.65709454674
1108,1,2,42,3540,1,2.21,183292.47308674708
2238,2,1,2,6610,0,1.86,416247.50759896694
2344,2,1,53,253,0,9.51,344995.5097916672
2897,4,1,9,2775,3,2.1,594106.6937338442
409,1,2,41,815,2,2.61,54601.96607953157
3271,2,2,20,6144,1,9.7,567946.1270417734
1197,1,3,15,7604,1,7.35,263215.3209564501
3713,1,1,11,1154,1,7.0,623044.4427146672
3722,1,3,1,1829,1,8.53,653413.2386548761
1276,5,1,40,7059,1,1.16,293058.0318553196
1428,1,2,23,9041,0,7.06,258976.1508228827
3590,5,2,34,3478,0,5.04,647063.1111548626
1415,4,2,55,5655,0,8.29,256848.53798161194
2224,2,1,29,4001,2,5.08,392532.0583832055
773,2,2,56,2761,3,6.2,116005.08180682512
3536,2,1,29,6739,1,4.78,605244.3249041991
2593,2,3,46,570,2,4.78,418200.040032572
623,2,1,34,1057,1,7.68,114279.66557912595
1662,2,3,18,5086,0,6.29,394922.18026804185
2624,2,1,49,7685,2,6.33,436046.14621915214
2202,4,3,7,583,0,4.5,495214.3281656615
1252,1,2,25,4534,1,5.31,251975.827927238
3753,3,3,48,4490,1,7.46,624260.388800272
462,5,2,39,2925,3,8.26,175793.0028508998
1640,3,2,6,6404,1,6.97,381741.59225148684
3274,3,3,29,6311,0,9.24,578878.8131094888
3242,1,1,6,4451,1,8.2,554439.6965513097
1088,1,1,2,1122,3,5.62,231640.25342060608
1884,1,1,0,3115,3,6.71,396249.5191959099
2033,2,1,35,8157,0,9.26,385512.2429505169
2552,4,1,24,3246,2,6.19,506024.734460529
3570,2,2,36,9366,1,8.25,604866.1922429658
910,4,1,0,1430,3,6.89,304218.56254379696
784,4,2,14,7847,1,5.52,200898.45375212806
804,3,2,36,5133,1,2.42,177649.29156201248
3270,3,2,12,9755,2,4.26,600256.4820955932
917,4,3,39,4140,3,9.68,274558.2505580455
875,4,3,7,6683,1,6.58,300156.4802266353
2400,2,2,4,403,3,5.64,472339.90917584917
3156,2,3,59,360,0,9.33,491347.934089772
2068,3,1,8,9160,0,5.87,427195.58306013886
2293,1,1,0,3948,1,5.26,462998.4807891286
3218,4,2,35,6918,3,7.59,623034.3500089346
1860,2,1,34,2781,1,7.13,327291.4558007374
3494,3,2,1,1293,3,1.93,651525.7105269722
3444,2,2,39,4700,3,4.71,560661.2176178503
3124,4,1,22,8999,2,4.73,603764.9601487322
1113,4,3,8,5910,2,3.78,335108.6125511914
3929,5,1,33,9932,2,5.17,718711.3118225321
482,1,1,45,3075,1,4.13,85400.0104834312
1568,5,2,13,3391,2,1.99,361689.2244971638
3556,3,2,3,2037,2,4.12,701774.7077005799
3549,2,2,29,889,0,0.72,587675.6357389799
2904,3,2,30,3959,3,5.76,499709.1955602471
2301,4,3,37,2303,3,8.54,523437.84897821955
2448,5,3,10,565,2,7.25,561507.5263816292
450,5,3,34,8292,3,3.6,212313.2339915409
1084,5,2,7,4372,0,0.87,320335.24447209854
1116,3,2,2,6233,0,2.02,272376.50726122526
1869,4,2,13,2578,2,5.45,436778.567063871
848,2,3,59,1405,0,2.07,107350.07083329378
1280,2,2,12,5188,3,5.44,355103.19070941204
887,3,1,44,5869,1,2.32,169950.00387812802
2223,5,1,31,2935,3,8.49,480786.4610414565
2481,1,2,33,8690,1,3.97,399718.69800695725
3819,3,1,44,1156,2,2.46,625871.9204778671
2542,3,1,18,9506,1,8.12,493420.39872995776
3543,4,3,58,6823,0,3.43,556148.9658335611
1974,2,2,37,1674,3,1.11,344002.745602235
2601,3,2,15,4660,1,5.7,545192.2213772507
649,3,3,1,7202,3,5.82,299393.54052086617
1073,5,1,39,6596,2,7.15,265012.4986218701
837,5,1,16,3028,2,2.4,224422.6847799813
2565,1,2,54,3050,0,4.44,349520.17643538734
1170,4,1,33,3164,2,2.82,231158.51991931078
3777,1,3,41,4794,1,0.81,554667.8398713301
667,5,3,59,9341,2,8.77,227753.82260330603
2384,2,2,15,6844,0,7.29,454405.7479276033
1477,5,3,37,3050,3,3.01,393582.1689668788
635,4,3,59,365,3,5.99,150997.16202404743
788,5,2,1,1119,2,2.01,294422.3813048174
3437,4,3,1,8505,1,8.9,684376.5129650617
1162,4,3,25,3704,0,1.15,268260.5327766751
2248,4,3,12,1191,1,0.04,466259.8007613483
2848,4,1,55,6247,0,5.02,452260.92064376705
1023,4,2,46,4039,2,5.83,238088.81261231002
3214,2,2,30,1458,0,5.79,551818.1912650277
3774,1,2,59,7809,0,0.55,552696.3517090911
3366,3,1,33,8906,2,3.14,565745.308318174
3678,1,1,38,5004,1,4.99,565070.917562727
1652,4,2,2,267,2,2.17,416725.92749918887
3300,2,1,7,9988,0,8.73,622880.7301485902
977,5,2,22,5860,2,0.87,273656.8663069169
2522,2,1,13,4678,0,4.87,465429.2890960048
834,4,3,55,8410,2,6.91,224272.930183754
2550,2,3,54,3721,3,2.62,403482.21772922145
3893,2,2,26,772,3,6.24,688217.1592517147
1163,4,1,53,7282,2,8.29,245914.86416864936
3185,2,1,28,8032,1,1.9,493686.1878734695
3253,3,3,38,5595,0,9.17,569772.9287857726
1729,3,3,52,2458,3,5.54,332683.15083169943
